company_name,company_number
"Cadbury UK Limited",00155256
"Hartwell Plc",00155302
"Arriva Cymru Limited",00155374
"Frederick Warne & Co Limited",00155455
"Eaton Limited",00155621
"Breedon Trading Limited",00156531
"Helical Plc",00156663
"S&B Herba Foods Limited",00156737
"Nespresso UK Ltd",00156925
"Amalgamated Metal Trading Limited",00156938
"Cartier Limited",00157267
"Origin Amenity Solutions Limited",00157345
"Bang & Olufsen U.K. Limited",00157371
"Hartwell Automotive Group Limited",00158447
"Forged Solutions Group Limited",00158672
"Volex Plc",00158956
"Bright Steels Limited",00159061
"Palmers Scaffolding UK Limited",00159161
"Cavaghan & Gray Limited",00159189
"Archer Daniels Midland Erith Limited",00159486
"Atlas Copco Limited",00159809
"Dun & Bradstreet Limited",00160043
"Dunhills (Pontefract) P L C",00160251
"Dewhurst Group Limited",00160314
"Henry Boot Plc",00160996
"Refresco Beverages UK Limited",00161079
"Blatchford Limited",00162114
"Lazard & Co., Limited",00162175
"Rustins Limited",00162273
"Henry Bath & Son Limited",00162301
"Tronox Pigment UK Limited",00162303
"Liberty Fabric Limited",00162351
"Welwyn Components Limited",00162480
"Burberry Limited",00162636
"Interfloor Limited",00162988
"Ercol Furniture Limited",00163292
"Abraham Moon & Sons Limited",00163364
"Federal-Mogul Limited",00163992
"Air Compressors & Tools Ltd",00164206
"Synthite Limited",00164640
"Carver (Wolverhampton) Limited",00164692
"Lawton Tube Company Limited (The)",00165130
"Shell Information Technology International Limited",00165727
"Isles Of Scilly Steamship Company Limited",00165746
"Cofco International UK Ltd",00165772
"Legal And General Assurance Society Limited",00166055
"Ralph Livesey Limited",00166886
"Peel Land And Property Investments Plc",00166957
"Watson Norie Limited",00166962
"John E.Fells & Sons Limited",00167004
"British Electric Lamps Limited",00167205
"Croda Europe Limited",00167236
"Segro Public Limited Company",00167591
"The ALL England Lawn Tennis Ground Plc",00168491
"Sydenhams Ltd",00168966
"Lewis & Towers Limited",00169343
"Greens Limited",00169536
"Charbonnel Et Walker Limited",00169938
"Batleys Properties Limited",00170410
"Iquw Administration Services Limited",00170558
"Frederic Robinson Limited",00170679
"Wacoal Emea Ltd",00171167
"Setten Holdings Limited",00171323
"Widdop Bingham & Co. Limited",00171327
"Reliance Precision Limited",00171578
"Coulson Group Limited",00171837
"James Durrans & Sons, Limited",00172023
"Milliken Industrials Limited",00172105
"Watts Of Lydney Group Limited",00172209
"Parmley Graham Limited",00172842
"L3harris Communications Systems UK Limited",00173103
"Corning Limited",00173274
"Gilbert Gilkes & Gordon Limited",00173768
"Hugh Steeper Limited",00173865
"Apil Realisations Limited",00173955
"Sol Puerto Rico Limited",00174144
"Thorntons Limited",00174706
"Andrews Sykes Group Plc",00175912
"Micronclean Limited",00176558
"James Walker Group Limited",00176600
"Carter Synergy Limited",00176807
"Muntons Plc",00176992
"The Swatch Group (UK) Limited",00177501
"Johnson Wax Limited",00177819
"4imprint Group Plc",00177991
"J.D. Williams & Company Limited",00178367
"Warburtons Limited",00178711
"Russell's (Kirbymoorside) Limited",00178738
"Colgate-Palmolive (U.K.) Limited",00178909
"Robert Pochin Limited",00179511
"Ashcourt Construction Limited",00180028
"North Atlantic Fishing Company Limited",00180110
"A.W.Hainsworth & Sons Limited",00180630
"Jardox Limited",00181002
"Willis Limited",00181116
"Securitas Technology Limited",00181585
"Mutual Clothing & Supply Company Limited",00181701
"Pitney Bowes Limited",00182037
"Renold Power Transmission Limited",00182382
"Ligs Limited",00182469
"Joseph Holt Limited",00182757
"Northumberland & Durham Property Trust Limited",00182763
"Morris Homes (Midlands) Limited",00184652
"Bussey & Sabberton Bros. Limited",00184728
"United Dominions Trust Limited",00184739
"Alpha Bank London Limited",00185070
"J Sainsbury Plc",00185647
"Thornton & Ross Limited",00185947
"Invicta Motors Limited",00186518
"Appledore Shipbuilders Limited",00186726
"Alfa Laval Limited",00187261
"Bodycote Surface Technology Limited",00187961
"Shell Company Of TÜrkiye Limited",00188307
"KSB Limited",00188357
"James Hargreaves (Plumbers' Merchants) Limited",00188491
"Andrew Industries Limited",00188896
"Scott Bader Company Limited",00189141
"Novar Ed&S Limited",00189291
"Tclarke Contracting Limited",00189434
"Solina Coatings UK Limited",00189717
"Carrs Billington Agriculture (Sales) Limited",00189740
"Megger Instruments Limited",00190137
"Eric Wright Construction Limited",00190204
"Rodericks Dental Partners Limited",00190237
"Alfred Dunhill Limited",00191031
"Skanska Construction UK Limited",00191408
"Citroen U.K. Limited",00191579
"Ford Retail Limited",00191596
"Schweppes International Limited",00191968
"John Crane UK Limited",00192121
"Duff Morgan & Vermont (Holdings) Limited",00192743
"Macdermid Autotype Limited",00192795
"Hendy Group Limited",00192872
"Gawith Hoggarth & Co., Limited",00192996
"Ab Agri Limited",00193800
"J.Pullan & Sons Limited",00194023
"Batif Dollar Limited",00194278
"Harry Neal Limited",00194482
"Daler-Rowney Limited",00194555
"Group 1 Retail Limited",00194561
"Holland & Sherry Limited",00194697
"W.& H.S. Emery Company Limited",00194760
"H Young Holdings Public Limited Company",00194944
"Truck-Lite Europe Limited",00195431
"Close Brothers Limited",00195626
"Dexion International Limited",00195736
"Carclo Plc",00196249
"Benenden School (Kent) Limited",00196353
"Inchcape Shipping Services (UK) Ltd",00196654
"Solvera Plc",00196908
"Mentholatum Company Limited (The)",00197071
"Booker Limited",00197380
"Ball Beverage Packaging UK Ltd",00197480
"Dewynters Limited",00197585
"Acco UK Limited",00197754
"Chep UK Limited",00197807
"Willmott Dixon Holdings Limited",00198032
"F. Duerr & Sons Limited",00198509
"Gap Group Limited",00198823
"Rollins & Sons (London) Limited",00198889
"J. Marr (Seafoods) Limited",00199160
"Effective Home Ltd",10441082
"Castle Pictures Limited",10441588
"Saint-Gobain Isover UK Limited",10442670
"Ginger Acquisition Company Limited",10442691
"Lita Homes Limited",10442880
"Fortress Operations Limited",10443180
"Biopharma Credit Plc",10443190
"PTT International Trading London Ltd",10443326
"Optimove UK Limited",10443820
"Deloitte European Support Services Limited",10444675
"Inmotion Ventures 3 Limited",10445040
"Clean Tech U.K. Limited",10445078
"Hearts & Science Limited",10445362
"Fitzroy QLD Resources Limited",10445733
"Pacific (BC) Bidco Limited",10445933
"Exoticca Travel UK Limited",10446295
"Roxor Group Limited",10446715
"Crouch End (Fec) Limited",10448866
"Opus People Solutions (East) Limited",10449174
"Tradechoice Distribution Limited",10449218
"KK Daytona Holding Ltd",10449580
"ICD Europe Ltd",10449697
"FGC Holdings Ltd",10450641
"ARMS Group Ltd",10450709
"CT Automotive Group Plc",10451211
"Matchroom Boxing Limited",10451332
"Albany Beck Holdings Limited",10451963
"Foresight Group Holdings (UK) Limited",10452886
"Uki Holdings Limited",10453039
"Diamond Transmission Partners RB (Holdings) Limited",10454309
"Roy Hatfield (Holdings) Limited",10455878
"Expectation Entertainment Ltd",10456505
"Ropsley Limited",10456746
"Survival Of The Fittest Limited",10457037
"Diamond Transmission Partners RB Limited",10457056
"W B Chambers Farms Limited",10457515
"Rail Stone Solutions Limited",10457625
"NTW Solutions Limited",10458774
"CDS Support Limited",10459658
"Crab Hill Developments Limited",10459732
"Syneos Health Holdings UK Limited",10460416
"Junkyard Golf Club Limited",10460920
"Western Bidco Limited",10461560
"Ancala Fornia Holdco Limited",10461654
"Odin Holdings (UK) Limited",10462853
"Prior + Partners Limited",10463462
"The White Company Holding Co Limited",10464073
"Caretrust UK Limited",10464966
"Fulwell 73 UK Limited",10465608
"Newday Bondco Limited",10466251
"Hurricane Cleanco Limited",10466789
"Metro Gold Limited",10467389
"Rhenus Home Delivery Limited",10468377
"Cobblestone Energy Ltd",10468940
"Unlimited Marketing Group Ltd",10469103
"Bylor Services Limited",10470659
"Voyageurs Du Monde UK Limited",10471371
"De Monchy UK Limited",10471604
"Cboe Worldwide Holdings Limited",10471829
"Gravis Capital Management Ltd",10471852
"Healix International Group Limited",10472152
"Ridgeway Building Envelope Group Ltd",10472770
"McAfee Security UK Ltd",10472868
"Marshmallow Technology Ltd",10473308
"Camfaud Group Limited",10473517
"Vantage Solar UK4 Limited",10473677
"Vantage Solar UK Limited",10473926
"Leslies Motors Limited",10474193
"Pertemps Professional Recruitment Limited",10475003
"Hcing Ltd",10475063
"D'Angelin & Co. Limited",10475862
"McPhillips 2016 Ltd",10476293
"Gypcraft Holdings Limited",10476433
"S4 Capital Plc",10476913
"Myriad Contracts Group Limited",10477165
"Hybrit Services Ltd",10479291
"TVS Interfleet Limited",10479375
"Paperclip Holdings Limited",10481194
"Octane Capital Limited",10481270
"Social Cellar Limited",10481529
"Elysium Healthcare Holdings 1 Limited",10481896
"Nep UK Film I Limited",10482244
"Restful Homes Group Ltd",10483079
"Everglade Holdings Limited",10483302
"Solar Finco 1 Limited",10483446
"Octane Property Finance Limited",10483453
"Solar Finco 2 Limited",10484100
"Tangerine Group Holdings Limited",10484406
"Tile Hill Interim & Executive Limited",10484468
"Scanmetals (UK) Limited",10484811
"Instavolt Limited",10484882
"Eames Consulting Group Limited",10484918
"Amdaris Limited",10485133
"Linc Capital Limited",10485463
"QMP Group Limited",10485611
"Rubix Limited",10485684
"Metropolis Music Limited",10486267
"Size Group Ltd",10486436
"Sentinel Labs Ltd",10486642
"Cain International Advisers Limited",10486651
"Lions Gate International Media Limited",10486810
"RSK Adas Limited",10486936
"Quadgas Investments Bidco Limited",10487004
"Sudhir Power (UK) Limited",10487556
"Specsavers Eye Care Services Limited",10487945
"Go City Holdings Limited",10488990
"H-Pack Packaging UK Ltd",10489209
"A.C. Bacon Engineering (Holdings) Ltd",10489760
"OSW Co Holdings 1 Limited",10490912
"Certinia UK Limited",10491337
"Testingxperts Limited",10491678
"OSW Co Holdings 2 Limited",10491763
"Thermatic Technical FM Limited",10492050
"OSW LP Holdco Limited",10492133
"Bleckmann Solutions UK Limited",10492846
"Masento Limited",10492916
"SGM Windows (Holdings) Limited",10493097
"Jarion Limited",10493796
"Readypower Group Limited",10494768
"YTL Developments (UK) Limited",10495341
"Hellen Holdings Limited",10495366
"Cidon Holdings Limited",10497569
"Syncona Investment Management Limited",10497864
"SB Investment Advisers (UK) Limited",10498335
"Practice Plus Group Health And Rehabilitation Services Limited",10498997
"Rock Solid Processing Limited",10499394
"Crosland Holdings Limited",10499584
"Expromet Technologies Group Limited",10500031
"Assured Group Investments Limited",10500269
"Tiger Topco 1 Limited",10500425
"Aspen Tower Propco 2 Limited",10500824
"Wild Peak Holdings Ltd",10503337
"VCC Trading Group Limited",10503447
"Traffix (Holdings) Limited",10503837
"Ikonic Technology Holdings Limited",10504189
"ABC Mobility Holdings Ltd",10504834
"IVC Acquisition Ltd",10505083
"Absolute Group Holdings UK Limited",10505980
"Capital Com (UK) Limited",10506220
"Newhall Land Limited",10506583
"Hka Global Ltd",10506713
"Funko UK, Ltd",10506769
"FS Holdco 2 Limited",10507004
"Gwen Holdings Limited",10507409
"FS Debtco Limited",10507979
"Porthaven Care Homes No 3 Limited",10508872
"Accor Hotelservices UK Limited",10508910
"Quantanite UK Limited",10509140
"Tankers International Limited",10509521
"OLR Group Limited",10509546
"Northumbria Pharma Ltd",10509764
"Citipost Holdings Limited",10510505
"Skan Group Holdings Limited",10510590
"IVC Acquisition Midco Ltd",10510862
"Insight Analytics Solutions Limited",10511025
"Christie Lites Coventry Limited",10511063
"TD Synnex UK Resources Limited",10511136
"Danbro Workforce Solutions Ltd",10513169
"Avery Healthcare Holdings Limited",10513243
"Techsimulater Ltd",10554806
"Baird Foods Holdings Limited",10554858
"GCH (Hertfordshire) Ltd",10555728
"GCH (South) Ltd",10555747
"TRP Trading Company Limited",10555909
"Learnlight Holdings Limited",10556728
"Convergent Technology Limited",10556915
"ABL Capital Investments Ltd",10558505
"Myco Contracts Limited",10558526
"PMWB Limited",10559503
"Utmost Life And Pensions Limited",10559664
"Becket Holdings Ltd",10560363
"DT Hughes Holdings Ltd",10560392
"GSLT Holdings Limited",10560823
